AI_TASK,MODEL,VERSION,INPUT_TILE,PLATFORM,ENGINE,PROCESSOR,PRECISION,QUALITY_METRIC,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY,NOTES,UPDATED BY,LAST UPDATE
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,192x144,jetson-nano2,lne,CPU,F32,/,/,0.5,4.7,19.0,9.3,84.8,22.5,116.6,8.6,58349.9,17.4,1.0,17.4,0.7,4.7,5.0,60.1,0.0,0.0,35.6,25.1,3.6,0.6,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,192x144,jetson-nano2,onnxruntime,CPU,F32,/,/,0.5,4.7,19.0,9.4,211.6,40.4,261.3,3.8,26034.5,17.0,0.9,17.0,0.7,3.0,3.0,62.1,0.0,0.0,36.1,25.2,3.6,0.3,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,192x144,jetson-nano2,lne,GPU/CPU,F32,/,/,0.5,4.7,19.0,/,/,/,/,/,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,192x144,jetson-nano2,tensorrt,GPU,F16,/,/,0.5,4.7,9.5,9.1,37.8,17.4,64.3,15.5,105731.9,45.9,2.1,44.3,1.8,5.1,6.0,62.3,18.1,0.0,38.6,27.8,3.9,1.0,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,192x144,jetson-nano2,tensorrt,GPU,F32,/,/,0.5,4.7,19.0,9.1,33.2,17.7,59.9,16.7,113519.3,47.0,2.1,45.4,1.8,5.3,6.0,62.7,19.5,0.0,38.2,27.0,4.0,1.1,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,192x144,jetson-nano2,onnxruntime,CPU,F32,/,/,0.5,4.7,19.0,9.4,211.1,40.4,260.9,3.8,26076.1,16.6,1.0,16.5,0.7,3.0,3.0,62.2,0.0,0.0,36.2,25.3,3.6,0.3,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,256x192,jetson-nano2,lne,CPU,F32,/,/,0.9,4.7,19.0,12.4,138.5,32.6,183.6,5.4,37062.9,17.9,1.0,17.9,0.7,5.7,6.0,61.3,0.0,0.0,35.8,25.3,3.7,0.6,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,256x192,jetson-nano2,onnxruntime,CPU,F32,/,/,0.9,4.7,19.0,12.7,307.5,58.0,378.2,2.6,17988.9,17.2,1.0,17.2,0.7,3.0,3.0,62.4,0.0,0.0,36.5,25.7,3.6,0.3,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,256x192,jetson-nano2,lne,GPU/CPU,F32,/,/,0.9,4.7,19.0,/,/,/,/,/,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,256x192,jetson-nano2,tensorrt,GPU,F16,/,/,0.9,4.7,9.5,12.5,32.7,41.6,86.7,11.5,78426.8,46.2,2.1,44.9,1.8,7.2,8.0,63.8,14.3,0.0,38.6,27.5,4.0,1.3,,,
