var_0,var_1,var_2,time,memory
24,32,5,28.80720853805542,7.464711
25,16,7,28.7485568523407,7.88996
27,33,52,29.33031678199768,11.34346
33,15,17,29.044419050216675,10.728628
11,19,35,29.591233015060425,11.345245
15,38,10,29.61844611167908,8.715195
17,45,44,29.0538182258606,11.342207
22,16,38,29.14087176322937,11.345336
45,25,31,29.33621096611023,11.345306
21,41,5,28.88841152191162,7.461014
21,47,45,29.202720642089844,11.34302
51,9,42,29.19769763946533,11.343501
5,11,34,29.47543692588806,11.345419
11,40,21,29.559284925460812,11.335772
50,9,25,29.643977165222168,11.344386
42,35,14,28.66427445411682,9.870365
30,37,20,29.61025667190552,11.284725
7,45,25,28.903494834899902,11.34473
7,28,20,29.95966482162476,11.288893
18,20,48,29.638840675354004,11.343565
21,9,34,29.48792552947998,11.337459
51,40,25,29.988016843795776,11.335919
34,46,10,29.537139654159542,8.707258
48,43,36,30.008934259414676,11.336943
10,5,29,30.090392351150516,11.337394
17,50,27,29.637763261795044,11.337137
26,8,17,30.06334972381592,10.724937
17,9,18,29.98938226699829,10.988462
35,23,7,29.85050940513611,7.883919
26,31,42,30.060751914978027,11.33515
29,14,5,29.536344051361084,7.454226
8,21,23,29.87255072593689,11.336966
48,50,30,29.968937158584595,11.337466
29,24,35,29.993505716323853,11.334033
6,14,48,29.9485867023468,11.334004
49,44,18,29.997864961624146,10.9874
49,14,47,30.10988426208496,11.336361
47,4,22,30.278462648391724,11.327885
50,21,22,29.961989402771,11.329382
22,11,33,29.883346796035767,11.337668
50,37,30,29.87505078315735,11.339241
47,10,19,29.65027141571045,11.185533
9,16,46,29.93607974052429,11.339313
17,45,16,29.715900421142575,10.442136
5,23,35,30.232218503952023,11.339101
39,26,17,30.115926027297974,10.724354
27,13,22,29.774788856506348,11.329682
20,39,11,29.52183198928833,8.99644
25,16,20,29.64835476875305,11.283918
31,41,28,30.077775955200195,11.338872
35,21,12,29.963253498077396,9.284448
40,10,5,29.573435306549072,7.458414
41,27,16,30.134562730789185,10.442112
36,42,34,30.059441328048703,11.339233
36,13,35,29.736127138137817,11.338678
