nScenarios,pv_mean,pv_std,load_mean,load_std,sol,time,memory
2,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,355.45,2.7,66.29
2,262.66770833333334,270.722787757911,310.025,159.83073859555302,351.73,2.9,65.78
2,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,360.85,3.0,65.84
2,261.87395833333335,270.0966783875697,317.28229166666665,167.74264948798282,390.31,3.0,65.41
2,265.1541666666667,271.69111671032886,314.55312499999997,163.7424807135716,368.14,3.2,65.85
2,265.79583333333335,273.7816393118895,317.97708333333327,169.1823187417243,382.98,3.5,66.38
2,264.95,273.9898732161464,315.43541666666664,165.98518318610968,376.22,3.1,65.86
2,264.80625000000003,272.2219012177458,318.43333333333334,168.32927841650786,386.02,3.0,66.03
2,274.6489583333334,275.21932163079487,325.55312499999997,166.37352050001138,376.14,2.9,66.03
2,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,355.45,3.0,65.76
2,276.68541666666664,285.76609570414934,324.2604166666667,173.71749904608455,371.77,3.4,66.17
2,273.92604166666666,282.3261567779335,323.303125,166.68160732186692,367.87,3.0,66.18
2,275.1166666666666,282.7454644002073,325.20625,169.90460485991593,377.47,3.1,66.18
2,273.096875,281.67775672933016,330.87916666666666,174.9279499993418,408.14,2.9,66.27
2,276.5208333333333,283.3376221182759,328.02812500000005,170.76124578823803,384.99,3.0,66.27
2,277.18854166666665,285.51789818014316,331.5989583333333,176.42320773662857,400.46,3.0,65.97
2,276.30312499999997,285.7348014524442,328.9458333333334,173.09152619632258,393.42,3.5,65.14
2,276.153125,283.889522215188,332.0708333333334,175.54242181774435,403.64,3.2,66.41
2,286.41562500000003,287.01951128804126,339.50416666666666,173.50535949735257,393.38,3.1,66.34
2,276.68541666666664,285.76609570414934,324.2604166666667,173.71749904608455,371.77,3.1,66.19
2,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,363.24,2.9,65.74
2,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,359.43,3.2,66.16
2,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,368.78,3.0,65.93
2,267.21666666666664,275.6136523237233,323.75937500000003,171.16505592685297,398.82,3.1,65.46
2,270.56354166666665,277.2356380108624,320.97083333333336,167.08612793797565,376.18,3.1,66.01
2,271.2208333333333,279.37235491539286,324.46770833333335,172.63160468585968,391.32,3.1,66.16
2,270.35520833333334,279.5829721320785,321.87083333333334,169.36745919047993,384.42,3.9,66.24
2,270.20625,277.7747753023496,324.92812499999997,171.76406219914293,394.43,2.9,66.32
2,280.253125,280.8408609104114,332.19687500000003,169.76897381265235,384.35,2.9,65.79
2,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,363.24,2.8,66.12
3,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,358.35,4.0,72.09
3,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,354.56,4.4,72.4
3,266.50624999999997,273.8953361583049,315.028125,164.58755882959193,363.84,4.2,72.36
3,264.5416666666667,272.8576096407958,320.5239583333333,169.45243601622138,393.59,4.3,72.5
3,267.8604166666667,274.4615218474648,317.7645833333333,165.4162634204783,371.16,4.3,72.73
3,268.51145833333334,276.57818811240327,321.21979166666665,170.9025286407136,386.12,5.2,71.08
3,267.65208333333334,276.78592321020665,318.65208333333334,167.67194282981987,379.31,4.2,71.43
3,267.503125,274.99285576065614,321.6770833333333,170.0430744933757,389.21,4.3,71.55
3,277.45,278.03394576921715,328.87708333333336,168.0694836959595,379.26,4.1,72.56
3,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,358.35,4.5,72.08
3,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,370.03,4.4,71.74
3,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,366.13,4.1,72.47
3,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,375.7,4.2,71.83
3,272.559375,281.13062858531805,330.23645833333336,174.5874668085406,406.33,5.0,71.9
3,275.97291666666666,282.7801614030937,327.38854166666664,170.42978018196604,383.22,4.3,71.69
3,276.6458333333333,284.9630725040917,330.9583333333333,176.08089503754297,398.66,4.0,72.42
3,275.7604166666667,285.176073344451,328.30625,172.74973999769387,391.62,4.3,71.95
3,275.60625,283.3276514672324,331.42291666666665,175.19885099935175,401.83,4.4,71.93
3,285.85729166666664,286.46240218133033,338.840625,173.1644320786153,391.55,4.0,71.63
3,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,370.03,4.0,71.73
3,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,357.58,4.1,72.22
3,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,353.81,3.9,72.46
3,265.96875,273.34187968568625,314.38958333333335,164.2528636731378,363.04,4.1,71.27
3,264.0125,272.30506378034295,319.8822916666667,169.10803314424462,392.74,4.1,72.67
3,267.3177083333333,273.90808258839,317.12291666666664,165.07831441922664,370.36,4.2,72.17
3,267.9677083333333,276.01756265634305,320.5729166666667,170.5613461724541,385.31,4.2,71.73
3,267.109375,276.2262444831701,318.009375,167.33250398914146,378.5,4.3,72.47
3,266.9625,274.4400948787974,321.03020833333335,169.70052673741645,388.39,4.1,71.63
3,276.8927083333333,277.4744122004735,328.2114583333334,167.72929943674103,378.42,4.1,71.94
3,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,357.58,4.2,70.89
3,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,366.12,5.5,72.47
3,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,362.29,4.1,71.93
