var_0,var_1,var_2,var_3,var_4,var_5,var_6,time,memory
4,34,19,41,35,16,4,649.3214509,61.73369
48,47,4,6,46,42,29,663.2251132,59.448889
7,3,19,35,35,10,46,526.090693,19.89649
6,50,50,51,22,38,33,662.4704094,61.73369
12,4,16,23,25,32,47,664.3859103,61.733689
10,38,20,35,7,33,8,527.1486702,19.89649
10,37,46,12,34,30,23,526.1884575,19.877787
20,47,40,28,14,30,26,660.7987545,61.717802
11,40,9,28,27,35,17,521.7111399,19.89649
31,40,12,16,40,20,48,663.4079823,61.733857
15,14,36,13,22,39,32,668.0493112,61.733689
38,11,37,29,10,5,5,526.1264908,19.883051
23,35,27,49,14,23,31,668.4296365,61.733689
27,29,42,39,18,25,27,657.8922055,60.533463
47,48,41,32,49,17,45,665.6983628,61.73453
13,33,9,50,41,37,34,528.7400756,19.89649
52,36,32,41,13,37,23,685.649379,61.163701
38,21,13,50,46,48,52,664.7131209,61.17073
45,23,47,39,44,29,36,687.6843987,61.283126
15,27,14,4,22,25,24,678.9054899,61.537849
10,43,28,12,47,28,14,536.9445057,19.89649
33,44,38,41,50,8,8,663.8861468,61.665587
51,35,36,41,34,29,18,685.8603785,61.173178
50,18,13,16,40,5,5,681.4058752,61.71445
35,15,10,38,46,5,50,535.1145334,19.896491
29,6,16,51,22,48,41,666.8644691,61.73369
13,39,45,13,6,20,38,633.4316885,59.84057
50,12,41,45,23,21,30,689.7230961,61.131144
49,12,13,50,52,8,22,681.282939,61.164015
6,35,4,33,15,52,23,667.8448029,59.64473
50,34,9,14,28,16,22,534.6996236,19.89029
8,52,26,36,8,25,33,650.784375,59.830849
12,32,49,44,30,30,6,667.8778346,61.73369
9,26,45,47,7,40,28,529.2846124,19.887642
11,14,51,5,9,44,34,520.8416018,19.896491
18,30,38,45,4,22,52,663.94801,61.73369
15,16,37,50,19,46,48,660.0114791,61.73369
28,6,18,44,47,48,41,661.8663855,61.733297
36,52,45,43,22,16,4,675.155616,61.158409
32,35,23,36,51,5,21,678.6090496,61.730144
31,26,7,46,23,32,23,667.9841483,59.840569
35,29,46,6,5,30,14,679.4810174,59.644729
5,9,24,50,21,38,28,531.3657961,19.89649
21,18,41,36,30,52,4,648.3300896,61.73369
21,34,12,26,29,43,50,661.120121,61.733689
10,7,4,22,29,20,4,526.5048938,19.89649
8,5,35,44,25,6,7,656.7948725,61.733689
40,45,34,49,29,12,15,680.3040633,61.16946
51,40,40,29,26,23,8,679.9874308,59.840569
23,5,10,28,6,24,24,533.3631504,19.896491
24,37,3,51,34,52,24,529.8661456,19.89649
25,25,49,42,17,46,45,663.7926097,59.857261
12,9,42,14,6,38,27,534.1439624,19.876713
48,11,43,9,39,11,42,528.9148862,19.896625
48,23,32,39,34,8,52,679.5087667,61.421158
25,50,25,50,12,47,6,666.4132822,61.714984
30,19,52,39,41,25,19,655.3055768,59.303653
26,15,16,14,20,34,47,668.6309609,59.831353
32,51,11,31,7,34,48,528.1357446,19.896625
21,38,31,16,28,20,25,663.1168568,59.840704
5,32,50,26,47,52,5,659.3846161,61.716392
23,15,45,35,29,39,15,661.9477971,61.727121
25,35,3,20,35,5,22,517.114361,19.883754
36,5,52,39,22,50,40,662.716167,61.075094
37,52,8,22,17,19,26,668.9597361,61.722361
43,24,49,13,34,34,4,670.8203597,61.733992
25,36,51,13,36,30,40,653.4525149,61.729233
36,28,52,51,26,14,41,661.2708192,61.238214
49,13,22,41,41,34,12,678.4652472,58.85786
25,30,4,36,35,23,19,657.0450978,61.538037
44,46,3,18,37,15,26,530.5605867,19.896677
24,17,44,19,23,19,44,665.6312447,61.731228
12,26,29,22,33,16,50,649.775861,61.733876
20,22,11,49,7,36,5,526.867955,19.894733
29,5,35,39,21,15,45,654.507427,59.84057
14,14,12,20,19,40,49,654.6796973,59.840757
50,4,45,42,49,20,50,682.2963231,60.455547
12,43,19,35,29,12,50,650.0994842,61.733876
32,28,48,52,37,49,24,651.6363878,61.642011
44,41,42,20,39,22,15,678.0995276,61.733877
10,24,42,14,48,51,49,514.3577843,19.896491
21,45,46,35,34,25,51,666.1926978,61.31983
20,26,39,43,8,37,29,649.3362226,61.733877
41,14,45,12,48,18,18,659.0914705,61.733876
8,34,17,45,28,50,20,652.9547949,59.840738
36,33,29,34,24,38,30,660.1550765,61.161905
43,9,43,6,36,4,21,526.0013659,19.89649
22,52,49,8,25,18,12,648.6016412,59.840569
31,27,16,32,52,42,31,664.4209192,59.840569
26,11,34,6,37,9,46,527.7358556,19.896491
49,44,43,24,13,15,42,663.1093404,60.518863
18,40,27,4,8,16,41,666.570317,61.53309
16,12,9,51,11,25,31,525.6077335,19.89649
31,41,44,46,23,20,4,658.6991751,61.73369
17,14,31,12,24,40,15,673.4464538,61.73369
15,17,12,21,50,7,4,662.521116,59.83933
45,31,32,28,25,26,50,678.3706212,61.173446
18,3,43,43,44,28,24,526.8111365,19.878354
9,41,46,19,26,21,18,536.9336555,19.883282
51,36,44,31,44,45,23,670.8411295,61.199848
38,16,3,12,36,13,36,521.5263348,19.880466
16,4,16,33,13,27,41,669.0362818,61.719121
17,51,23,12,47,35,40,656.6573889,61.731042
18,15,8,31,35,43,31,647.2871914,61.731042
42,45,4,47,43,7,51,677.4439147,60.824069
25,17,5,32,24,18,39,669.5048275,59.634337
37,19,44,18,47,19,27,668.0966976,61.73369
24,3,36,31,39,7,43,526.2255414,19.890323
45,10,46,37,49,48,3,526.0390913,19.896491
19,13,13,20,43,4,35,660.9398601,61.72893
52,15,51,8,34,39,46,669.8621595,59.832289
12,38,27,50,20,24,50,656.1621432,61.733738
51,19,25,44,39,16,29,688.4067676,61.199411
13,35,37,34,30,45,51,665.2226682,59.826657
18,32,3,6,38,39,28,531.751214,19.89649
14,36,39,48,43,4,40,653.1216912,61.73369
30,30,42,26,12,14,13,672.9279895,61.733689
43,34,13,26,8,26,35,674.0549784,61.733689
13,27,41,22,6,51,6,659.2609768,61.733689
14,11,26,23,11,31,42,521.5291071,19.896659
9,6,50,31,4,42,49,532.6329415,19.89649
47,5,32,25,49,44,27,676.3195486,61.73369
44,23,46,8,24,31,6,668.7458739,59.840569
9,6,18,34,28,48,4,527.5479999,19.89649
28,36,38,20,28,18,6,661.4434056,61.73369
30,25,49,5,44,46,48,657.6020982,59.627834
51,50,9,32,40,32,35,528.0404797,19.89649
4,46,43,36,38,45,27,658.16431,61.719778
27,48,34,39,19,34,19,666.0850284,60.776836
9,42,48,41,22,41,27,528.2621329,19.89649
24,21,10,23,50,44,38,519.0061367,19.896491
34,14,12,19,14,48,52,662.1489909,61.73369
40,19,9,33,50,29,29,529.050395,19.878187
32,22,45,46,46,49,13,669.4131651,61.728937
19,4,47,41,23,41,19,656.6897697,61.73369
32,34,18,16,51,31,15,666.9234428,59.840569
18,51,16,45,40,44,13,656.5054414,61.715386
25,15,47,50,29,13,35,659.1006339,61.733689
34,23,11,24,27,6,50,528.2540772,19.876075
28,12,10,3,47,29,19,529.2771621,19.89649
46,50,48,14,35,25,23,669.4959521,59.840569
13,46,5,25,28,26,36,661.1322622,59.639969
33,11,7,22,52,31,52,525.6793864,19.887506
40,22,8,21,29,50,8,671.2877998,61.73369
9,43,5,15,38,44,50,525.9765649,19.883283
32,36,23,52,20,31,12,674.7037358,61.729096
45,6,22,41,52,41,4,675.4548614,61.376232
18,34,16,14,30,50,23,676.6980598,59.825298
9,41,36,30,3,24,39,528.4142015,19.886098
44,6,20,4,36,24,4,661.0225096,61.53785
21,22,21,35,34,47,39,660.6540761,60.727727
40,52,18,7,42,48,30,674.1700661,61.722593
46,40,3,21,24,43,22,527.1625445,19.896491
24,11,47,44,29,44,13,534.1809692,19.889618
46,5,25,41,42,41,49,686.2591166,60.781964
50,12,24,24,20,35,5,681.3134499,61.730337
6,11,3,3,30,34,21,535.4114943,19.89649
49,13,11,46,6,46,29,535.7658617,19.896491
7,27,18,47,37,38,40,662.6802413,61.732449
7,28,39,48,8,45,36,677.0760796,61.73369
9,47,29,5,18,7,24,532.2337887,19.896491
19,23,5,48,49,52,24,671.2534547,61.53785
50,40,9,4,23,10,22,527.9656072,19.89649
39,47,26,37,23,29,27,674.9438853,61.044229
9,13,48,16,12,34,10,531.3676457,19.89649
11,42,12,46,26,49,50,525.8119988,19.883464
11,44,52,38,14,12,51,534.1093121,19.896671
12,10,14,13,15,34,47,533.7161167,19.89649
50,47,11,39,31,16,24,535.5315986,19.896839
26,5,31,39,52,32,47,675.3766134,61.726999
13,29,49,32,49,27,19,659.6343684,59.84075
45,30,10,25,15,14,10,524.6321378,19.89649
10,16,29,9,33,33,19,522.7205575,19.88048
47,41,41,5,45,17,41,667.8342183,59.64473
4,18,17,35,12,23,4,659.3644288,61.724015
24,40,51,33,51,41,40,660.6051903,61.161682
26,48,7,31,25,35,40,660.60325,59.84075
20,21,47,30,14,16,33,660.469408,61.722607
29,26,47,7,8,44,49,677.4655352,61.73387
39,9,40,5,27,51,42,510.2124543,19.878535
10,7,52,29,50,26,8,521.8848372,19.890504
23,13,26,4,29,33,42,659.4860075,61.526767
9,31,30,11,50,27,4,522.7229512,19.896491
16,45,35,24,14,32,39,660.3833742,61.73387
24,25,51,45,46,42,32,660.6212599,61.15974
5,14,6,40,42,21,48,663.5584154,57.749665
34,20,42,16,6,12,39,674.3522692,61.73369
23,46,44,36,5,4,46,664.7446978,61.71503
6,21,14,42,25,13,28,662.9006171,61.733689
51,39,49,38,8,34,44,684.1462731,61.203403
40,40,6,14,34,31,25,666.5351548,59.628182
48,41,48,18,39,34,38,681.4380243,61.73369
47,42,17,17,48,43,32,668.9008887,61.718551
7,42,4,43,13,22,4,664.5515475,59.64473
39,50,10,41,7,11,29,532.5266867,19.893138
5,34,9,27,32,16,24,526.3566391,19.896491
51,7,31,42,24,37,8,683.0777121,61.222393
9,43,32,26,51,46,23,529.8084145,19.896491
40,5,22,51,40,24,35,671.4840744,61.168001
17,36,15,13,12,21,22,676.5489006,59.840569
51,3,42,25,33,19,33,515.9660859,19.892434
33,52,13,40,41,41,50,660.209743,61.661642
11,36,26,18,8,16,26,519.4930892,19.89649
37,26,45,27,27,39,22,671.9978347,61.273668
41,45,35,26,45,43,14,653.9704363,59.840617
10,18,16,37,32,12,9,530.4496906,19.89649
14,45,21,24,39,37,24,663.5708325,61.73369
42,15,32,47,23,21,16,690.2028749,61.174997
10,51,27,13,51,36,21,543.5450666,19.89649
15,14,50,14,15,32,46,690.904973,59.84057
49,3,31,4,3,50,5,567.2346361,19.896491
39,24,30,4,7,47,26,735.2076328,61.53785
52,8,11,46,35,14,10,592.5575497,19.89649
40,3,6,27,48,32,17,604.8404186,19.89649
13,45,17,46,7,26,14,733.0577536,59.840569
38,33,49,37,42,30,17,768.4541402,60.5628
23,30,42,17,25,33,42,776.4793916,61.733689
22,21,48,38,26,7,33,759.8412039,61.715385
4,21,32,18,12,17,44,774.5284193,61.718201
21,4,41,31,7,21,32,761.0565774,61.733689
33,46,10,51,13,40,8,612.1298034,19.887339
23,31,41,4,25,33,51,773.6472747,61.523769
52,30,20,17,52,34,5,793.9721539,61.73369
30,27,6,52,17,15,4,763.5691686,59.64473
38,10,43,8,17,9,10,603.0213764,19.892267
33,34,31,51,34,35,49,769.8846595,61.150411
19,28,19,8,13,35,5,769.5715117,59.84057
44,25,40,34,43,29,47,789.7840142,61.124605
10,20,7,29,40,18,16,621.5355303,19.89649
36,22,19,26,52,39,30,785.8369539,59.829427
21,47,20,37,38,41,35,777.180284,61.716793
44,33,18,39,48,52,40,791.7194977,61.200636
39,3,39,42,45,28,4,614.0610609,19.896491
32,38,33,50,38,28,51,765.6181338,61.169186
4,46,18,18,50,41,35,766.9293687,61.73369
31,40,28,21,6,24,6,786.6630886,61.713273
18,43,40,50,52,7,5,782.9760749,61.733689
33,38,16,7,23,39,52,788.6005459,61.717497
24,4,36,51,44,7,41,782.1726468,61.73369
46,39,13,38,29,18,40,794.2564318,61.027729
42,45,37,38,37,34,29,794.6501093,61.177934
48,15,48,32,13,30,48,779.5337229,61.73369
26,23,29,7,21,38,4,789.3341043,61.733689
12,34,25,44,50,22,29,780.336205,61.73369
46,5,49,52,7,33,32,788.9293797,61.167206
12,6,22,18,5,34,38,785.1348712,61.733689
21,20,18,15,29,43,47,793.1110208,59.840569
47,14,12,12,16,43,25,786.3341432,61.733689
21,26,44,35,52,36,40,769.374836,61.319335
28,27,49,24,13,31,19,780.2912154,60.501434
34,44,12,17,35,23,44,773.445245,61.715386
14,12,46,41,4,41,12,764.1750255,61.73369
8,49,28,52,32,22,37,777.2870533,59.84057
34,7,37,39,13,37,37,789.9776165,61.733689
20,16,23,35,30,39,5,781.219147,61.733689
5,23,48,50,33,37,47,784.44981,59.84057
5,38,25,25,4,22,18,768.6054401,59.840569
17,33,42,30,44,26,36,772.7525361,60.857468
22,28,11,49,14,13,6,615.4949021,19.89649
26,10,34,43,42,32,14,618.1059256,19.896491
43,44,8,26,12,27,44,785.5798981,61.722425
40,30,20,48,46,42,41,774.7368753,61.168728
31,24,18,15,23,50,35,771.1302848,59.840569
49,33,12,37,20,48,12,775.4885077,61.691317
50,15,12,21,4,49,17,779.248589,59.84057
8,10,8,45,26,42,21,601.7985818,19.89649
51,30,51,36,45,39,26,782.8727963,61.17092
18,41,12,22,23,20,7,765.4699063,61.725241
42,48,32,38,23,20,25,777.4477317,61.459757
15,17,28,20,24,45,40,761.5656397,59.84057
46,16,8,12,32,14,35,779.0329778,61.73369
7,30,6,23,23,29,27,758.3378356,59.64473
4,34,5,7,42,50,4,752.7560837,59.632057
26,23,24,28,40,8,27,753.1129143,61.71609
51,8,19,12,14,22,13,777.752871,59.837049
10,11,29,49,33,15,42,605.4752166,19.886634
40,46,40,32,50,48,37,775.0120783,61.16671
25,6,20,37,42,40,29,758.711813,59.84057
13,11,5,11,7,17,30,606.566566,19.89649
46,35,52,12,52,34,51,773.2890668,61.73369
45,30,20,46,24,38,32,789.7802432,61.170852
50,6,11,19,31,6,33,609.4122229,19.896491
50,42,32,12,46,13,29,784.1918745,61.73369
29,15,23,33,49,22,44,775.373323,59.831417
8,43,35,14,4,31,31,764.2993095,59.84057
47,48,12,31,6,25,43,766.4541531,61.720313
52,23,29,49,39,32,23,790.7598383,61.167992
8,37,34,26,13,47,19,762.2587595,59.840569
31,52,41,14,30,34,44,762.6326432,59.840569
41,12,25,42,47,38,50,770.7554548,61.078078
48,49,11,44,12,50,30,616.5777454,19.89649
22,45,14,35,23,25,51,762.3854477,59.840569
16,34,10,52,19,29,33,615.6476653,19.887339
25,43,15,21,4,50,26,782.5741985,59.840569
35,4,24,33,51,15,12,761.1279659,61.73369
8,3,7,20,26,43,12,616.8796229,19.885227
23,7,51,25,5,12,31,756.8024542,59.840569
14,8,39,13,16,51,39,776.1741321,59.824378
37,12,26,5,31,36,13,780.6721056,59.632058
24,40,30,8,25,34,15,757.5075221,59.82297
22,40,12,33,24,13,18,766.720526,61.733689
20,9,12,27,39,36,39,618.2205498,19.883819
3,9,19,7,41,27,49,613.4683647,19.896491
21,34,9,15,14,6,8,613.0353825,19.892266
40,25,38,47,37,36,46,780.4972804,61.169677
39,28,6,20,45,45,28,782.8342187,59.64473
27,30,8,46,8,45,42,767.4770277,59.840569
48,46,5,29,43,6,43,773.0008459,59.623609
43,34,32,46,29,50,49,782.4269328,61.151065
45,37,40,4,38,23,23,767.8156407,61.53785
36,32,44,48,36,36,4,758.6270514,61.233756
12,4,40,49,35,27,51,761.7814674,61.724538
28,12,6,17,12,7,18,765.386796,59.644729
40,7,39,12,34,44,32,774.1390483,61.73369
35,40,13,19,14,21,8,765.5814452,61.732281
5,48,36,39,20,51,50,756.4625926,59.84057
51,21,13,14,36,32,50,770.7758973,61.73369
9,29,15,20,35,46,11,596.7697151,19.885931
42,32,32,34,12,23,41,774.4483843,61.73369
38,46,7,18,33,15,31,766.5256958,61.733689
18,23,27,36,32,20,32,746.5099559,59.930624
17,29,22,43,34,15,16,752.2237413,59.840569
35,15,36,4,28,44,28,757.2659037,61.537849
46,10,23,16,30,5,27,593.566582,19.896491
27,13,4,51,28,35,14,751.101887,61.520954
49,49,46,36,33,33,20,775.7773335,60.984025
50,31,4,26,14,47,29,780.8775134,59.644729
18,13,35,28,17,39,20,766.5588269,61.733689
27,48,47,41,37,12,25,750.1246877,61.730873
3,42,17,49,22,17,35,597.9471762,19.89649
27,5,32,7,50,6,17,760.8224661,61.73369
27,51,51,42,13,20,24,751.6338708,61.659224
45,26,3,16,49,36,7,597.1304815,19.896491
21,31,33,39,13,50,33,748.7253587,61.731577
40,34,11,20,5,30,23,596.0191238,19.896491
13,10,39,47,9,16,25,596.6213646,19.89649
7,14,4,23,24,18,14,742.8468392,59.638393
19,19,10,41,38,19,30,603.3312929,19.89649
13,42,13,36,25,51,23,759.0090337,61.713977
16,10,7,16,26,39,27,589.2211523,19.892267
23,33,25,41,47,20,50,758.0335598,61.43851
27,23,29,12,34,49,27,763.3571856,61.733689
29,20,31,5,22,47,16,765.3847079,59.644729
19,10,33,37,25,33,51,606.0742738,19.896491
11,49,16,46,22,3,39,604.8048317,19.896491
39,44,15,34,23,52,14,770.9039333,61.733689
20,51,50,44,31,18,19,755.121361,61.052931
13,24,38,46,33,38,37,753.8928156,59.831418
15,11,21,31,11,36,52,599.6971555,19.890859
22,41,39,38,17,44,32,751.3375256,61.686534
35,41,36,35,40,19,8,726.3810632,61.643666
28,20,28,37,29,31,8,759.6593661,61.265179
46,6,50,15,27,51,18,780.149709,59.827193
32,16,17,46,27,8,14,737.3109779,61.733689
25,52,26,36,4,44,45,756.1419108,61.721721
31,22,15,29,4,40,46,755.6553476,61.733733
10,27,18,47,6,30,30,592.0154254,19.88241
41,16,17,15,7,13,47,751.5270877,59.840612
31,22,40,30,43,18,22,755.5549321,61.06638
39,29,10,49,41,12,40,600.0593424,19.894379
5,44,42,26,43,6,22,750.3144233,59.840613
28,52,31,16,20,4,37,744.4246783,61.712569
26,42,45,51,44,14,41,733.6684029,59.83705
40,11,32,49,20,39,44,590.6135859,19.87889
34,45,23,34,16,52,8,716.3837566,61.733733
23,33,20,16,41,25,27,747.8411109,59.840613
11,34,18,47,31,50,22,598.8655417,19.89649
9,20,27,44,46,9,32,601.2578883,19.896533
50,32,40,31,29,23,6,760.5488856,59.840612
8,11,46,43,52,9,30,587.715755,19.878891
9,12,14,41,12,16,13,581.4780488,19.89649
3,20,45,13,15,37,12,590.3250644,19.896533
7,25,39,26,38,52,52,750.422246,61.723834
14,50,6,44,48,39,36,739.4626431,59.644773
13,40,4,26,8,26,28,745.4239089,59.644729
18,8,21,26,30,6,37,737.3480923,61.713978
22,15,47,24,37,4,44,750.2557707,61.733733
13,36,12,30,50,43,20,744.5457008,59.840612
43,13,39,29,7,39,13,748.9977047,61.733732
20,41,23,48,17,50,51,737.5207076,61.733689
37,12,16,31,52,4,34,743.2928116,61.733733
34,9,47,13,52,48,13,586.5684757,19.896533
36,52,24,29,36,19,12,748.2265677,61.71257
43,11,5,25,39,41,41,581.4476111,19.896724
26,30,8,24,40,8,17,747.8802404,61.733689
30,31,46,19,31,30,22,736.2200449,61.733689
29,37,52,29,50,4,45,718.518842,61.733689
29,27,14,14,4,34,51,746.3734863,59.82813
36,18,10,50,18,33,20,590.9213641,19.887571
10,40,4,48,47,4,45,591.5165648,19.896724
28,26,11,50,32,36,44,585.5886366,19.89649
37,18,22,26,12,39,18,757.5929828,61.733733
36,24,29,6,19,15,21,747.3066564,59.64473
49,41,29,15,52,35,28,752.2422016,59.837283
52,47,48,31,49,20,41,767.6941431,61.309015
45,32,30,44,16,23,17,774.5987141,61.151274
29,32,27,6,44,5,50,763.4866371,59.644963
50,8,17,14,23,14,45,753.0483537,61.731811
29,43,24,20,17,36,12,741.8589244,61.733689
41,44,37,33,39,51,46,764.2989881,61.159728
16,25,17,18,43,40,18,744.8401632,61.714682
10,32,11,19,9,6,35,590.7530475,19.896606
6,20,48,18,29,36,43,750.0638318,61.733689
19,18,16,51,18,21,49,750.1733925,61.728994
35,6,15,37,47,39,25,752.0438018,61.726882
22,3,4,21,18,51,49,598.0956154,19.896606
25,39,43,21,16,35,25,744.6852589,61.733805
41,35,40,48,42,48,7,761.8554177,61.16935
13,12,19,17,7,28,50,747.2640321,61.722658
27,42,26,12,32,8,37,765.9306686,61.733804
23,43,29,41,30,45,52,757.7989094,61.063592
11,50,15,18,12,25,33,603.8419182,19.896606
52,16,43,37,42,27,48,764.3858519,61.667541
21,36,35,20,42,28,26,749.6688695,59.830242
23,37,45,5,40,6,34,748.6915829,59.630882
42,49,47,31,45,27,21,762.2203565,60.998989
16,4,10,17,31,8,8,594.0562587,19.896605
43,13,47,17,5,27,6,767.7155602,61.733804
29,43,52,17,29,42,51,768.8589435,61.733923
29,17,28,52,31,45,7,755.0831888,61.72313
6,43,26,12,41,44,15,754.3664024,61.718434
16,44,10,4,27,10,23,588.1312735,19.896605
12,50,16,46,20,32,44,732.2443867,61.733804
6,45,10,5,34,7,20,584.2548158,19.89649
48,10,6,39,16,23,13,601.5639014,19.896606
48,24,41,39,47,49,19,766.4390645,61.017142
22,36,36,31,17,24,50,743.9603982,61.69228
30,17,43,23,29,30,47,761.3907459,61.728051
43,17,36,20,13,50,6,749.0248194,61.71609
12,12,9,26,38,17,5,595.0491438,19.882411
44,28,25,4,16,45,29,760.2939801,61.537965
6,27,6,16,25,27,4,736.6833739,59.63065
21,9,6,50,14,44,43,595.3717763,19.896605
27,25,41,4,4,6,50,761.9760129,61.537964
49,23,16,32,28,19,30,757.3045466,59.840569
8,15,51,30,26,45,31,737.4327712,59.840685
42,17,51,44,34,16,19,755.0738914,61.289051
26,29,26,22,43,29,42,752.2104952,61.732175
37,27,4,43,21,40,43,751.4267125,60.813903
33,29,47,32,51,26,17,752.0602024,61.739158
48,38,12,52,26,17,18,758.5202167,61.15186
16,5,15,27,36,13,34,746.4643886,59.848151
25,27,28,49,20,52,42,740.9485359,61.296657
15,13,23,12,13,28,43,761.3888674,61.733689
22,35,50,20,28,18,25,755.018301,59.840685
26,51,16,41,34,13,49,746.3150084,61.741271
43,43,15,49,33,35,47,749.4701178,61.176327
45,19,51,14,52,45,45,757.1855161,59.848151
12,10,7,4,11,46,34,599.2696872,19.884523
28,38,46,30,14,25,21,752.8345003,61.738454
35,14,25,17,23,21,47,762.9175105,61.733689
38,38,35,45,26,18,38,763.4443152,61.174682
20,46,3,9,31,12,49,595.4659286,19.904071
35,20,4,16,39,6,45,760.3492346,61.537849
48,9,5,42,27,29,11,598.5036013,19.904071
23,41,9,13,36,22,26,586.4067767,19.896491
16,39,15,17,15,15,47,742.0805907,59.840569
50,10,27,8,41,34,10,594.5095644,19.899847
13,35,50,30,51,34,37,751.3317742,59.848151
37,19,14,16,14,30,47,743.9608421,61.741271
29,48,9,11,6,26,43,593.1129117,19.897031
8,3,43,13,36,35,23,591.7771356,19.890859
27,33,36,42,48,23,23,744.6525493,61.277318
29,25,33,35,17,5,35,754.1583047,61.715386
47,52,28,31,48,28,22,755.63306,61.037882
31,15,26,20,46,45,5,747.4351389,61.73369
