var_0,var_1,var_2,var_3,time,memory
31,51,23,37,786.4799411,47.43774
39,18,30,6,787.2914803,38.32369
8,26,15,25,793.7681799,33.232329
30,51,49,5,782.2713614,36.288221
15,35,46,26,785.0539036,46.296893
25,22,5,12,778.3121436,26.691883
32,50,31,31,780.6588759,47.448634
22,32,14,31,809.3259761,44.923816
7,46,8,5,803.4534247,30.964059
18,12,47,33,787.5737126,47.433787
31,4,35,46,796.2265427,47.446919
18,4,9,19,809.1113386,34.986164
14,39,32,16,798.8355312,44.90386
20,34,10,28,787.1809254,37.218988
52,31,49,36,808.4634113,47.460437
23,17,33,43,834.2041681,47.442572
21,8,23,19,788.8286908,47.456854
38,42,24,32,806.8425095,47.459433
24,17,51,13,764.906508,47.433216
24,18,20,6,761.2204406,38.340573
31,44,47,14,773.1221712,47.434371
6,27,49,23,740.5718935,28.583559
22,22,29,17,770.7333024,47.454761
14,37,38,7,739.3096328,40.236582
24,43,18,12,796.1091411,47.22264
20,26,50,18,780.6086888,47.442869
13,10,34,33,765.0760775,43.009417
29,17,33,33,734.4695175,47.46047
51,14,12,51,737.4469852,41.102257
41,11,20,13,752.0765891,47.431982
5,49,45,27,735.821301,25.813444
37,20,49,13,752.5631948,47.430302
49,26,30,50,759.8901534,47.460836
41,33,19,37,788.8746173,47.428084
44,37,15,24,744.5326107,46.291688
36,32,35,40,741.2398801,47.461215
45,51,52,23,734.53865,47.461362
15,8,22,30,743.7712843,46.29812
4,14,40,44,721.4790232,23.288046
42,23,20,20,733.4184532,47.442441
13,45,31,33,748.6087849,43.020861
37,41,28,27,756.1408899,47.461152
50,39,51,13,763.1266947,47.433118
10,4,22,25,735.0079041,36.986673
48,26,24,20,758.8678682,47.459304
4,9,16,21,747.0990858,23.267658
45,10,26,43,769.530369,47.460972
8,7,45,17,772.8855076,33.231853
20,30,11,48,755.215893,39.173711
47,8,7,21,757.7647829,30.935374
5,31,41,26,763.3154831,25.813448
11,11,49,10,774.1019573,39.167987
15,38,22,48,802.8526809,46.296579
24,16,17,5,778.7131999,36.30653
24,21,45,46,773.1107845,47.459216
31,39,45,23,808.2256615,47.46145
45,45,40,52,911.6099346,47.445262
18,11,22,13,915.3038988,47.427417
36,20,26,23,946.0463119,47.445315
16,37,17,7,933.4282999,40.217326
17,9,22,32,948.2554414,47.32417
44,51,30,52,950.9662704,47.450582
10,14,31,52,919.044023,37.253798
