MODEL,ENGINE,PROCESSOR,PRECISION,utilization,temperature,POWER_CONSUMPTION,voltage,INFERENCE_TIME
mnist-lenet5,acl,NPU,F32,25,39,12.8,83,6.59365
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.6749
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.59604
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.44963
mnist-lenet5,acl,NPU,F32,25,39,12.8,83,6.75724
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.50396
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.48984
mnist-lenet5,acl,NPU,F32,25,39,12.8,83,6.42906
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,7.10536
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.80948
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.74276
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.67667
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.65969
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,7.07068
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.76297
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.42912
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.44146
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.99656
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.72333
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.96391
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.68562
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.93021
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.76854
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.6763
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.78917
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.64891
mnist-lenet5,acl,NPU,F32,26,40,12.8,83,7.81568
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.7551
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.05338
mnist-lenet5,acl,NPU,F32,26,40,12.8,83,7.34307
mnist-lenet5,acl,NPU,F32,26,40,12.8,83,6.90229
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.8699
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,7.29057
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,8.01328
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,7.41146
mnist-lenet5,acl,NPU,F32,26,40,12.8,83,5.95864
mnist-lenet5,acl,NPU,F32,26,40,12.8,83,6.37188
mnist-lenet5,acl,NPU,F32,26,40,12.8,83,6.41276
mnist-lenet5,acl,NPU,F32,26,40,12.8,83,7.4237
mnist-lenet5,acl,NPU,F32,26,40,12.8,83,7.97109
mnist-lenet5,acl,NPU,F32,26,40,12.8,83,7.66911
mnist-lenet5,acl,NPU,F32,26,40,12.8,83,7.55359
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,7.27042
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.40984
retinaface,acl,NPU,F32,24,43,12.8,83,13.064427
retinaface,acl,NPU,F32,24,41,12.8,83,12.818594
retinaface,acl,NPU,F32,22,41,12.8,83,13.00276
nanodet-plus-m-320x320,acl,NPU,F32,26,40,12.8,83,18.4123
