MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
body-pose-openpifpaf,resnet50-012,161x129,onnxruntime,CPU,F32,14.9,25.6,102.3,5.0,4465.0,28.2,4498.2,0.2,747.0,43.6,0.6,0.0,0.0,0.0,0.0,54.0,0.0,0.0,57.7,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012,321x241,lne,GPU/CPU,F32,53.1,25.6,102.3,10.1,7047.3,79.9,7137.4,0.1,470.8,54.6,0.8,0.0,0.0,0.0,0.0,54.3,0.0,0.0,62.1,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012,321x241,onnxruntime,CPU,F32,53.1,25.6,102.3,9.3,14689.2,116.2,14814.6,0.1,226.8,45.9,0.7,0.0,0.0,0.0,0.0,54.0,0.0,0.0,58.5,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012,321x321,lne,GPU/CPU,F32,70.3,25.6,102.4,12.8,9430.9,108.6,9552.3,0.1,351.7,56.3,0.9,0.0,0.0,0.0,0.0,54.4,0.0,0.0,61.9,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012,321x321,onnxruntime,CPU,F32,70.3,25.6,102.4,11.9,19580.8,141.0,19733.6,0.1,170.3,47.3,0.7,0.0,0.0,0.0,0.0,54.1,0.0,0.0,59.5,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012,641x481,lne,GPU/CPU,F32,206.9,25.6,102.4,32.7,27332.0,253.3,27618.1,0.0,121.7,71.8,1.2,0.0,0.0,0.0,0.0,54.4,0.0,0.0,63.0,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012,641x481,onnxruntime,CPU,F32,206.9,25.6,102.4,32.9,55658.9,248.9,55940.6,0.0,60.1,72.7,1.2,0.0,0.0,0.0,0.0,54.1,0.0,0.0,59.3,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-sk30,160x120,160x120,lne,GPU/CPU,F32,14.5,45.2,180.9,4.6,3033.9,70.1,3108.6,0.3,1080.9,55.1,0.8,0.0,0.0,0.0,0.0,54.1,0.0,0.0,60.3,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-sk30,160x120,160x120,onnxruntime,CPU,F32,14.5,45.2,180.9,4.6,5284.4,90.8,5379.9,0.2,624.5,46.7,0.6,0.0,0.0,0.0,0.0,53.8,0.0,0.0,57.5,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-sk30,320x180,320x180,lne,GPU/CPU,F32,43.9,45.2,181.0,7.3,9317.2,241.0,9565.6,0.1,351.3,57.6,0.9,0.0,0.0,0.0,0.0,54.4,0.0,0.0,62.2,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-sk30,320x180,320x180,onnxruntime,CPU,F32,43.9,45.2,181.0,7.3,14794.5,282.8,15084.6,0.1,222.7,49.4,0.7,0.0,0.0,0.0,0.0,54.0,0.0,0.0,58.6,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-sk30,320x240,320x240,lne,GPU/CPU,F32,56.6,45.2,181.0,9.2,12221.1,396.4,12626.7,0.1,266.1,57.6,0.9,0.0,0.0,0.0,0.0,54.4,0.0,0.0,61.6,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-sk30,320x240,320x240,onnxruntime,CPU,F32,56.6,45.2,181.0,9.3,19071.9,440.0,19521.2,0.1,172.1,48.5,0.8,0.0,0.0,0.0,0.0,54.0,0.0,0.0,59.3,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-sk30,640x480,640x480,lne,GPU/CPU,F32,226.5,45.3,181.0,32.5,49685.1,1511.9,51229.6,0.0,65.6,71.4,1.5,0.0,0.0,0.0,0.0,54.5,0.0,0.0,62.4,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-sk30,640x480,640x480,onnxruntime,CPU,F32,226.5,45.3,181.0,32.9,74327.4,1579.0,75939.3,0.0,44.2,63.1,1.4,0.0,0.0,0.0,0.0,54.0,0.0,0.0,58.7,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-v2k16,240x180,240x180,lne,GPU/CPU,F32,11.8,20.5,82.1,5.5,2562.4,139.2,2707.1,0.4,1241.2,48.5,0.7,0.0,0.0,0.0,0.0,54.0,0.0,0.0,59.7,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-v2k16,240x180,240x180,onnxruntime,CPU,F32,11.8,20.5,82.1,5.5,4433.4,170.3,4609.2,0.2,729.0,45.3,0.6,0.0,0.0,0.0,0.0,53.8,0.0,0.0,57.6,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-v2k16,320x180,320x180,lne,GPU/CPU,F32,15.8,20.5,82.1,7.3,3365.3,238.9,3611.6,0.3,930.3,35.4,0.6,0.0,0.0,0.0,0.0,54.1,0.0,0.0,60.1,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-v2k16,320x180,320x180,onnxruntime,CPU,F32,15.8,20.5,82.1,7.3,5722.0,208.4,5937.7,0.2,565.9,35.4,0.5,0.0,0.0,0.0,0.0,53.7,0.0,0.0,57.7,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-v2k16,320x240,320x240,lne,GPU/CPU,F32,20.2,20.5,82.1,9.3,4382.6,412.7,4804.6,0.2,699.3,35.4,0.6,0.0,0.0,0.0,0.0,54.1,0.0,0.0,61.1,0.0,0.0,0.0
body-pose-openpifpaf-shufflenet-v2k16,320x240,320x240,onnxruntime,CPU,F32,20.2,20.5,82.1,9.2,7237.6,447.6,7694.4,0.1,436.7,32.5,0.6,0.0,0.0,0.0,0.0,53.8,0.0,0.0,57.8,0.0,0.0,0.0
