var_0,var_1,time,memory
44,48,70.82136750221252,52.313101
28,16,69.80209970474243,42.048332
37,16,70.5397686958313,42.048332
37,20,70.94522476196289,49.591496
47,37,71.81328964233398,52.313101
51,17,70.5486171245575,43.939619
21,51,71.26940155029297,52.313691
41,28,71.2966685295105,52.314768
52,32,70.80352687835693,52.313169
31,36,70.5556046962738,52.31307
30,23,71.3369653224945,52.313363
10,5,68.259281873703,27.403813
17,42,71.27488827705383,52.302633
13,24,70.87962484359741,52.294762
22,3,68.57422637939453,27.674761
50,19,70.39707612991333,47.738084
17,31,71.07468485832214,52.310028
52,15,70.43962383270264,40.149767
47,15,70.43702411651611,40.149767
5,27,70.96809720993042,52.307978
30,36,71.21635031700134,52.305151
9,7,68.5722963809967,27.559227
21,26,70.9971604347229,52.312791
19,13,69.41991353034973,36.385071
44,29,71.42194366455078,52.314754
22,33,71.14094471931458,52.309926
24,14,70.03685784339905,38.255186
26,24,71.54966735839844,52.3044
52,29,70.9776017665863,52.314754
16,49,71.26798272132874,52.312451
52,17,71.03832006454468,43.944948
49,29,71.24083209037781,52.307897
10,31,71.24662160873413,52.304989
19,5,68.58399653434753,27.406849
48,48,70.81038808822632,52.306949
14,7,68.5815532207489,27.566028
5,7,68.35486268997192,27.563117
47,8,69.19848585128784,28.217799
35,50,71.69520163536072,52.306949
38,10,69.62529063224792,30.977313
11,50,71.23380923271179,52.306524
22,38,71.1834180355072,52.307062
13,7,68.69983053207397,27.563246
31,8,69.16971564292908,28.219558
51,21,72.0490939617157,51.256524
16,29,71.07195329666138,52.303617
34,35,70.91763544082642,52.303979
17,44,71.38156032562256,52.305048
44,50,71.60678029060364,52.306137
3,41,71.38019442558289,52.140417
27,41,71.56840872764587,52.301998
30,8,69.177419424057,28.22144
14,10,69.26490664482117,30.978884
52,15,69.71210241317749,40.143878
34,31,71.32434248924255,52.308203
23,36,71.7143874168396,52.31201
15,14,70.77301335334778,38.256392
19,3,68.88319969177246,27.679908
16,35,71.5952079296112,52.306411
7,48,71.55198931694031,52.309034
8,27,71.40381979942322,52.308442
8,26,71.67555570602417,52.308527
12,22,70.1317400932312,51.875339
24,31,71.15103316307068,52.307915
41,4,68.38988018035889,27.497613
5,26,71.32134866714478,52.301624
36,49,71.11906838417053,52.30751
51,48,71.56550097465515,52.307766
5,38,71.44009757041931,52.300435
14,31,71.80701470375061,52.307886
28,48,71.34655499458313,52.30751
32,9,68.73288989067078,29.425244
39,3,68.60105895996094,27.681
43,30,70.92048382759094,52.309511
36,42,71.68271565437317,52.309142
19,49,71.14904022216797,52.309077
47,26,71.03106093406677,52.309408
44,14,69.99852776527405,38.254451
27,4,68.4170777797699,27.498989
30,47,70.94304776191711,52.309173
3,14,70.1437246799469,38.240283
26,42,71.6013834476471,52.309005
6,37,70.84727692604065,52.308133
25,12,69.03376173973083,34.519656
15,27,70.61795687675476,52.309667
44,23,71.39907121658325,52.30889
21,11,70.01864218711853,32.706372
49,27,71.50035214424133,52.307964
9,7,68.1028938293457,27.565614
46,15,70.00483417510986,40.144695
40,26,71.2662718296051,52.309137
17,10,68.81579661369324,30.979922
14,52,70.45257425308228,52.31023
19,9,69.90864086151123,29.426216
10,50,71.43037056922913,52.309148
42,29,71.41092729568481,52.311058
12,25,70.80491209030151,52.311288
30,24,71.97891163825989,52.30272
33,48,71.47871017456055,52.31011
30,19,69.8521466255188,47.73738
49,28,70.94613027572632,52.311839
14,12,69.38366460800171,34.523697
