var_0,var_1,time,memory
5,27,66.61951208,49.394302
10,5,66.04776549,24.515816
26,24,68.3144784,49.392874
19,13,65.98582244,33.471682
17,31,69.61051798,49.398496
22,33,69.66483212,49.400356
52,17,66.35863447,41.031533
52,29,67.58060431,49.399251
13,24,69.10302138,49.392948
9,7,68.52863216,24.660747
44,29,66.26043367,49.401353
21,26,67.580585,49.399491
16,49,70.55527735,49.399039
10,31,65.01560545,49.399482
47,8,61.80843663,25.315525
11,50,65.74856114,49.400087
14,7,63.23057818,24.661555
5,7,63.19093776,24.660114
13,7,63.66381478,24.66126
49,29,63.61283255,49.384057
44,50,63.72628427,49.382414
22,38,65.6451931,49.400348
35,50,66.28442574,49.401173
19,5,63.96571803,24.496527
31,8,63.50172234,25.315525
16,29,66.44615602,49.399043
38,10,62.80038595,28.071687
27,41,66.42776155,49.400408
17,44,65.82323122,49.398497
34,35,66.4307909,49.400414
48,48,67.21080661,49.400748
51,21,68.12476039,48.349638
3,41,66.38548493,49.238524
16,35,70.88275695,49.389281
23,36,71.75588489,49.395302
14,10,70.19055867,28.056821
41,4,69.31859612,24.614928
8,27,73.15824056,49.39876
24,31,71.19344211,49.397314
19,3,69.70637417,24.810449
30,8,72.24836659,25.308619
34,31,71.79186082,49.400692
8,26,70.18136716,49.400944
7,48,73.23929691,49.401395
52,15,72.62891269,37.236344
28,48,70.15595651,49.387262
36,49,73.75767231,49.392802
12,22,75.76180339,48.965386
15,14,71.6528039,35.347927
51,48,71.83284926,49.389236
5,38,74.85223007,49.3774
5,26,72.03200912,49.380348
14,31,72.40235734,49.388621
39,3,71.19465208,24.814572
44,14,73.83793449,35.346096
32,9,72.49905968,26.517407
3,14,71.63991833,35.332173
36,42,72.74641347,49.400405
30,47,73.51064444,49.400412
44,23,74.2310636,49.40069
27,4,70.27824974,24.614931
15,27,75.59819651,49.401469
19,49,73.32811236,49.400474
26,42,73.64032006,49.400404
43,30,74.48537254,49.400917
49,27,72.96861124,49.399638
40,26,74.5235002,49.400811
47,26,72.51510978,49.400807
6,37,78.69602203,49.399828
46,15,76.72632718,37.236342
21,11,78.03134823,29.798167
25,12,77.39534521,31.611348
9,7,76.64627409,24.660743
17,10,69.64863467,28.070746
33,48,71.59378982,49.400541
14,52,70.34250617,49.40064
30,19,71.62125969,44.809936
31,12,70.82494283,31.592055
42,29,71.49777579,49.401492
49,28,71.09996438,49.382115
12,25,71.0562036,49.386709
14,12,69.38809323,31.599897
9,36,73.58637166,49.388301
30,24,73.60661793,49.382031
37,40,69.44136953,49.400539
19,9,69.14439702,26.501019
10,50,71.67831945,49.387235
11,19,66.67171955,44.822564
51,26,66.91184759,49.382231
15,37,73.83045912,49.401863
14,38,68.10754013,49.400643
15,29,67.9620173,49.401867
48,22,66.78943992,48.97046
18,20,72.99671197,46.682283
19,34,72.96758842,49.398635
8,24,72.46032381,49.384198
20,14,69.346977,35.349008
3,36,73.60854673,49.239933
26,28,70.90276027,49.403516
23,52,73.32817817,49.405338
19,49,73.31276584,49.401885
46,24,75.67556214,49.394291
41,50,72.96591616,49.401823
20,34,74.92359114,49.403986
41,17,74.00206423,41.031814
38,6,74.34336209,24.475332
5,48,74.24829102,49.395688
49,25,73.9206357,49.393255
24,41,75.28100944,49.401815
4,23,74.40803695,49.382435
9,32,75.95995665,49.394503
47,19,73.84169292,44.821775
27,12,75.24734235,31.607343
22,28,70.63481355,49.400418
37,7,70.32307196,24.660377
3,23,71.57130361,49.237483
45,29,71.01482391,49.401363
15,6,71.79324675,24.47371
13,37,71.44483137,49.399052
23,51,75.68881273,49.404366
46,11,72.5600369,29.799393
9,24,72.60004544,49.393027
15,46,70.49619436,49.401727
