var_0,var_1,var_2,time,memory
23,9,36,30.481173276901245,7.33169
51,12,30,30.49380707740784,7.33206
4,46,23,29.69486212730408,7.331507
50,32,13,29.215603828430176,5.56652
44,4,25,30.30861234664917,7.331121
19,51,27,29.68245553970337,7.331765
26,28,36,30.565289735794067,7.332489
23,50,9,29.221487522125244,4.418553
26,32,16,30.21551251411438,6.435012
42,47,23,30.20971894264221,7.331506
46,6,51,30.45665526390076,7.332127
51,31,35,29.784709453582764,7.332161
10,43,7,29.80493426322937,3.878771
49,19,18,29.48278260231018,6.981491
44,35,39,34.234490156173706,7.332055
23,6,4,33.34097671508789,3.371421
32,22,14,34.10429883003235,5.856997
45,5,24,34.11671471595764,7.330529
30,29,16,29.355353116989136,6.435002
28,28,21,29.55436396598816,7.322447
21,44,8,30.06436491012573,4.125871
8,20,38,30.183788776397705,7.310812
13,30,10,30.00937867164612,4.691399
29,25,33,30.21903276443481,7.313574
6,16,4,30.154862880706787,3.350169
16,22,34,33.68353796005249,7.332246
47,49,29,34.90362215042114,7.320522
43,49,32,33.76707363128662,7.31152
10,23,42,34.34114980697632,7.327085
11,47,21,33.435542583465576,7.316881
43,45,50,33.2755560874939,7.317263
28,42,19,34.17828845977783,7.170563
36,34,27,34.54704403877258,7.323485
39,51,16,33.51827025413513,6.430833
37,52,48,30.28102397918701,7.33194
24,31,18,29.84926056861877,6.969405
7,49,5,30.60385489463806,3.443258
48,14,40,31.24330687522888,7.318565
37,27,5,30.49367070198059,3.450954
34,48,45,32.980255126953125,7.331731
25,8,12,32.85946798324585,5.277555
48,44,18,34.16304111480713,6.981367
48,32,33,32.81864404678345,7.332139
48,51,9,33.541496992111206,4.418548
16,14,39,33.561330795288086,7.331871
46,30,11,29.61814045906067,4.989325
11,12,39,29.58257484436035,7.331824
49,7,39,30.258846759796143,7.331842
18,41,47,30.30908226966858,7.332356
40,25,23,30.32597255706787,7.331297
52,47,36,30.347621202468872,7.331571
42,28,27,30.26317024230957,7.331659
14,39,33,30.517096996307373,7.33216
22,22,14,30.206958055496216,5.853478
38,48,19,31.00004816055298,7.178143
51,17,24,29.604042291641235,7.33029
48,10,30,30.2209734916687,7.33207
9,16,13,29.714312076568604,5.566642
31,21,7,33.425238609313965,3.878772
29,4,18,29.38072943687439,6.981847
29,15,11,30.024308443069454,4.989491
38,30,13,29.468672275543213,5.566514
36,49,10,30.160746812820435,4.701914
13,40,28,30.02137660980225,7.331859
43,32,51,30.233805894851685,7.31179
11,35,50,30.31797480583191,7.331792
51,7,19,30.247697114944454,7.178409
45,45,4,29.34378671646118,3.369173
8,21,8,30.278334856033325,4.142018
21,33,49,30.216342210769653,7.331918
13,16,39,31.02091956138611,7.310733
7,27,41,29.66346502304077,7.332019
42,23,6,31.028309106826782,3.640115
6,9,48,29.73289155960083,7.312624
41,38,18,30.589826583862305,6.982032
17,35,36,30.161264419555664,7.331597
48,40,47,30.154150247573853,7.332207
15,16,12,30.144325971603397,5.277477
19,46,14,30.069380283355716,5.840165
27,42,44,29.498980283737183,7.322761
40,8,28,29.59190034866333,7.317825
28,24,50,29.409859895706177,7.319838
40,45,23,30.43007111549377,7.315307
48,44,24,30.469985961914062,7.326852
5,26,30,29.3857946395874,7.323532
26,30,22,30.156481742858887,7.311657
10,8,44,30.28439354896545,7.33199
32,30,26,30.298217058181763,7.316044
6,46,43,30.12824940681457,7.330593
34,35,18,30.2906551361084,6.982035
44,30,25,30.36086869239807,7.330712
13,27,30,30.39069652557373,7.318379
14,38,6,29.424322605133057,3.640108
35,39,29,30.414330005645752,7.327521
10,15,43,29.506500720977783,7.312987
44,18,49,30.926698446273804,7.329838
23,16,48,30.315345525741577,7.325973
4,43,34,30.52047896385193,7.326474
16,29,42,29.473525524139404,7.331637
46,18,21,30.43938398361206,7.323151
15,40,49,29.60711884498596,7.332093
37,15,31,30.13272714614868,7.332093
40,8,16,29.686174392700195,6.434045
37,15,22,30.14488172531128,7.322899
38,28,8,29.543133020401,4.142018
8,48,8,30.10855078697205,4.142018
5,33,52,30.339665174484253,7.332023
32,40,11,29.386998176574707,4.989321
38,37,52,29.503233432769772,7.332343
46,10,4,30.0545551776886,3.36934
19,19,14,30.282992839813232,5.856882
10,26,18,29.45007300376892,6.982045
32,13,26,30.280704021453857,7.331823
9,35,46,34.03968572616577,7.332038
23,6,18,33.25898456573486,6.981842
48,44,4,33.3079891204834,3.369177
36,20,11,33.870248556137085,4.989319
12,28,41,34.093584060668945,7.33202
5,46,7,29.53679323196411,3.87895
52,4,51,29.517179250717163,7.332197
39,7,7,29.55801010131836,3.87895
17,9,19,29.870062828063965,7.178654
23,52,24,30.219117164611816,7.311536
40,36,4,29.686602115631104,3.355977
15,26,36,30.35478949546814,7.33242
39,12,10,33.39107894897461,4.702132
38,19,43,33.565821409225464,7.332339
12,41,38,32.71480083465576,7.332132
50,49,38,33.94922709465027,7.315907
46,44,10,34.12213921546936,4.702094
6,24,30,33.323036670684814,7.318145
31,7,19,33.71071100234985,7.161697
50,42,39,34.01369333267212,7.31931
40,13,14,29.488758325576782,5.837024
24,15,31,30.3072988986969,7.332269
38,40,34,30.13466691970825,7.314705
8,35,9,29.406511783599854,4.397608
41,28,10,30.348567724227905,4.702092
16,23,4,29.33905863761902,3.367056
34,39,27,30.44105100631714,7.324729
33,20,32,30.440509796142575,7.322401
10,41,23,34.22740030288696,7.326577
48,48,43,34.177679777145386,7.332005
39,10,14,34.13916611671448,5.856348
37,27,43,29.861921310424805,7.330702
13,45,49,30.49722719192505,7.328092
52,48,6,30.460739135742188,3.63096
23,42,39,34.41183638572693,7.32265
27,36,20,30.432677268981934,7.275575
16,42,27,30.48636507987976,7.331767
12,27,28,30.6198787689209,7.331946
43,12,47,30.701255559921265,7.32608
48,29,38,30.636361837387085,7.33177
13,38,50,30.663986444473267,7.332283
19,46,19,30.434677362442017,7.166171
49,13,11,30.023555755615234,4.989161
16,15,21,30.65145874023437,7.323019
43,5,28,31.446260929107662,7.331988
40,40,43,30.370006561279297,7.332132
8,34,11,33.17293405532837,4.989327
34,32,15,33.89691662788391,6.144885
19,45,39,30.58406114578247,7.331798
20,5,32,30.13322806358337,7.332234
47,42,8,30.191595792770386,4.142021
18,43,9,30.78408718109131,4.418548
42,41,4,30.55047488212585,3.369171
20,6,48,30.67720603942871,7.332418
5,11,9,29.933623552322388,4.417967
34,34,31,30.155678749084476,7.33203
32,52,24,31.00305414199829,7.330366
21,5,42,30.25467610359192,7.332096
12,51,41,29.996326684951782,7.332318
14,9,27,30.925105810165405,7.331482
5,13,52,30.20030450820923,7.331996
29,13,18,30.672830820083615,6.981319
44,14,16,30.783596754074097,6.434246
46,11,36,30.136220693588257,7.331688
27,14,51,30.186973333358765,7.332033
16,14,20,32.938806772232056,7.258805
27,27,32,30.37487769126892,7.331905
44,9,28,31.01892828941345,7.33189
17,51,25,30.42004537582397,7.311008
8,12,48,30.20683526992798,7.320392
41,11,17,29.726534128189087,6.70144
22,12,40,30.47448253631592,7.325575
12,21,14,29.84604024887085,5.857022
23,6,44,29.48930525779724,7.32223
17,11,14,29.558988571166992,5.856772
13,11,46,30.437228202819824,7.332123
46,46,22,29.64161777496338,7.313777
46,38,47,29.60346746444702,7.326263
43,32,26,30.74044680595398,7.312288
10,11,9,30.508963346481323,4.410934
37,51,12,30.458829879760746,5.264747
28,28,46,30.021217346191406,7.331915
52,46,8,34.30935502052307,4.127938
7,27,5,35.19938373565674,3.441803
28,22,34,33.57017135620117,7.316927
32,4,15,30.25008201599121,6.145923
48,40,9,29.80571556091309,4.415728
34,27,29,29.61888957023621,7.331823
44,13,48,29.94659447669983,7.332332
30,17,12,29.468552589416504,5.2774
29,43,13,30.30931186676025,5.566519
18,41,32,29.70007395744324,7.331936
7,12,34,29.87508511543274,7.329985
47,33,28,29.568277597427368,7.331827
47,51,20,30.45348715782165,7.273462
5,21,42,31.177522897720337,7.332187
50,17,29,29.723278760910038,7.331992
16,13,7,30.28026819229126,3.878756
6,45,22,30.52818489074707,7.32293
49,13,36,31.133578300476078,7.331701
9,34,5,34.17270469665527,3.452363
46,49,16,33.38194918632507,6.43008
7,33,49,30.081809997558597,7.33192
40,28,11,29.976720333099365,4.989328
52,14,27,30.063958406448364,7.331459
46,32,24,29.62709069252014,7.330371
46,6,5,30.65483283996582,3.453667
5,30,35,29.66961359977722,7.332097
16,52,12,29.71608018875122,5.277425
20,14,10,30.20491671562195,4.701819
42,45,19,29.66738986968994,7.178142
45,18,18,30.247843980789185,6.982032
39,47,4,32.722063302993774,3.369174
15,18,33,34.293646812438965,7.332257
14,6,30,33.44253635406494,7.332127
21,38,38,34.03092551231384,7.310805
44,22,52,34.099374532699585,7.332119
11,20,22,34.17874050140381,7.322865
17,31,27,33.99432134628296,7.331788
15,50,35,29.602282285690308,7.331766
8,19,45,30.278966665267944,7.332219
7,14,22,34.1179940700531,7.322982
27,10,31,30.44898676872253,7.332093
37,26,45,30.66059827804565,7.331989
33,35,19,30.591832637786865,7.178139
31,18,20,30.443448305130005,7.266355
28,25,18,29.871280670166016,6.965988
47,39,52,30.102258682250977,7.313989
32,19,39,34.03926134109497,7.327082
24,33,35,34.68725395202637,7.318681
37,26,33,34.45728945732117,7.328918
14,31,19,33.90695571899414,7.160541
27,8,39,30.75300669670105,7.331841
43,5,30,30.812745571136475,7.322233
46,34,48,30.15617728233337,7.331978
19,32,9,30.82367467880249,4.400946
32,47,50,30.769848585128784,7.33136
51,52,11,30.773810863494877,4.976653
6,42,14,30.026435375213623,5.836642
12,25,44,30.10644817352295,7.326241
15,47,38,30.90832757949829,7.316607
6,5,13,31.09999775886536,5.564985
16,9,17,30.840196132659912,6.711286
32,21,9,30.05194568634033,4.41503
8,29,35,30.026156902313232,7.323516
6,52,37,30.702364444732662,7.331656
49,26,21,33.68248248100281,7.322457
39,34,7,34.3276572227478,3.878768
47,29,48,30.202394485473636,7.331652
35,16,31,30.083091735839844,7.332121
12,47,8,29.410876989364624,4.142019
20,23,22,30.0523898601532,7.322633
4,32,11,29.317429065704346,4.989324
41,38,30,29.866984128952023,7.332105
36,8,50,30.09008240699768,7.331886
29,9,30,30.119848012924194,7.332064
40,36,6,29.935232400894165,3.640115
26,7,25,30.19305443763733,7.331085
48,36,24,30.19828081130981,7.330367
44,26,41,29.47046899795532,7.331902
18,42,37,30.323967218399048,7.331674
48,16,23,29.97036814689636,7.331721
34,12,38,29.363571166992188,7.331975
8,30,15,29.878739595413208,6.144889
4,23,33,30.24343085289001,7.331921
28,44,10,33.17558765411377,4.701909
11,22,14,29.25155973434448,5.856997
29,5,43,29.986567735672,7.332026
30,49,14,29.2542622089386,5.836646
15,39,19,29.44783329963684,7.159837
25,29,50,29.598536014556885,7.332172
34,5,46,29.950639963150024,7.332195
24,15,23,30.150797843933105,7.331397
46,47,13,30.142043352127075,5.552442
